"uid","lid","name","description"
2,1,"Google","Google is an American multinational technology company specializing in Internet-related services and products. These include online advertising technologies, search, cloud computing, and software."
3,2,"Linked In","LinkedIn is a business-oriented social networking service. Founded in December 14, 2002 and launched on May 5, 2003, it is mainly used for professional networking."
4,3,"Microsoft","Microsoft Corporation (commonly referred to as Microsoft) is an American multinational technology company headquartered in Redmond, Washington, that develops, manufactures, licenses, supports and sells computer software, consumer electronics and personal computers and services. Its best known software products are the Microsoft Windows line of operating systems, Microsoft Office office suite, and Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox game consoles and the Microsoft Surface tablet lineup. It is the world's largest software maker by revenue, and one of the world's most valuable companies."
5,4,"Dell","Dell Inc. is an American privately owned multinational computer technology company based in Round Rock, Texas, United States, that develops, sells, repairs, and supports computers and related products and services."
6,5,"Apple","Apple Inc. is an American multinational technology company headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, and online services."
7,6,"Intel","Intel Corporation is an American multinational technology company headquartered in Santa Clara, California. Intel is one of the world's largest and highest valued semiconductor chip makers, based on revenue."
8,7,"HP","The Hewlett-Packard Company was an American multinational information technology company headquartered in Palo Alto, California."
9,8,"Adobe","Adobe Systems Incorporated is an American transnational computer software company. The company is headquartered in San Jose, California, United States."
10,9,"Facebook","Facebook is a corporation and online social networking service headquartered in Menlo Park, California, in the United States."
11,10,"Coca-Cola","Coca-Cola is a carbonated soft drink. It is produced by The Coca-Cola Company of Atlanta, Georgia, and is often referred to simply as Coke (a registered trademark of The Coca-Cola Company in the United States since March 27, 1944)."
12,11,"Twitter","Twitter is an online social networking service that enables users to send and read short 140-character messages called ""tweets"". Registered users can read and post tweets, but those who are unregistered can only read them."
13,12,"IBM","International Business Machines Corporation (commonly referred to as IBM) is an American multinational technology and consultingcorporation, with corporate headquarters in Armonk, New York."
14,13,"Starbucks","Starbucks Corporation is an American coffee company and coffeehouse chain. The chain was founded in Seattle, Washington in 1971"
